Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Valence,Tempo,Duration_min,Views,Likes,Comments,Licensed,official_video,Stream,most_playedon,Total_popularity,Energy_level,Loudness_level,Tempo_level,Speechiness_level,Valence_level,Popularity_level
Sofía Reyes,Luna,Luna,single,79,62,-4.7,4,56,100,2.5,1842831,30750,1484,True,True,6328129,Spotify,8170960,High,Very Loud,Medium,Very Musical,Neutral,Very High
Sofía Reyes,Lo Siento (Feat. Sofía Reyes),Prisma,album,46,46,-6.8,7,17,79,3.9,130432403,1154668,18966,True,True,86168734,Youtube,216601137,Medium,Loud,Slow,Very Musical,Very Sad,Very High
Sofía Reyes,¿Qué Ha Pasao'?,Sigo a Lo Mío,album,64,75,-4.1,13,40,178,3.3,62870098,644912,10078,True,True,126149810,Spotify,189019908,High,Very Loud,Very Fast,Musical,Neutral,Very High
Sofía Reyes,Casualidad,Mal De Amores,album,75,72,-4.2,9,84,173,3.2,44175227,241489,7074,True,True,71975354,Spotify,116150581,High,Very Loud,Very Fast,Very Musical,Very Happy,Very High
Sofía Reyes,Mal De Amores,Mal De Amores,album,78,66,-5.1,5,80,90,3.1,92007358,641601,33884,True,True,54230741,Youtube,146238099,High,Loud,Medium,Very Musical,Very Happy,Very High
Sofía Reyes,24-Jul,Mal De Amores,album,71,60,-7.0,30,72,172,3.2,481118,13006,308,True,True,10097187,Spotify,10578305,High,Loud,Very Fast,Mixed,Happy,Very High
Sofía Reyes,R.I.P. (Feat. Rita Ora & Anitta),Mal De Amores,album,76,75,-3.7,7,69,100,3.1,211117536,1692045,56048,True,True,213785805,Spotify,424903341,High,Very Loud,Medium,Very Musical,Happy,Very High
Fifth Harmony,Work From Home (Feat. Ty Dolla $Ign),7/27 (Deluxe),album,80,58,-5.9,4,59,105,3.6,2666673882,11869546,471291,True,True,1270912565,Youtube,3937586447,Medium,Loud,Medium,Very Musical,Neutral,Very High
Fifth Harmony,Worth It (Feat. Kid Ink),Reflection (Deluxe),album,88,76,-3.9,8,59,99,3.7,2148602737,11228568,337695,True,True,721700717,Youtube,2870303454,High,Very Loud,Medium,Very Musical,Neutral,Very High
Fifth Harmony,That'S My Girl,7/27 (Deluxe),album,59,85,-4.2,12,61,202,3.4,238117840,2435536,117051,True,True,295982666,Spotify,534100506,Very High,Very Loud,Very Fast,Musical,Happy,Very High
Fifth Harmony,Worth It,Worth It,single,85,78,-3.7,7,60,99,3.1,2148602737,11228568,337695,True,True,18298540,Youtube,2166901277,High,Very Loud,Medium,Very Musical,Happy,Very High
Fifth Harmony,I'M In Love With A Monster,I'm In Love With a Monster,single,66,81,-4.1,6,86,145,3.5,184780736,1882249,55392,True,True,88595619,Youtube,273376355,Very High,Very Loud,Very Fast,Very Musical,Very Happy,Very High
Fifth Harmony,Bo$$,Reflection (Deluxe),album,81,87,-5.2,10,73,103,2.9,264759900,1813080,84591,True,True,183465021,Youtube,448224921,Very High,Loud,Medium,Musical,Happy,Very High
Fifth Harmony,Sledgehammer,Reflection (Deluxe),album,67,77,-4.3,4,28,99,3.8,193208949,1466434,59116,True,True,186698178,Youtube,379907127,High,Very Loud,Medium,Very Musical,Sad,Very High
Fifth Harmony,All In My Head (Flex) (Feat. Fetty Wap),7/27 (Deluxe),album,68,79,-5.2,5,75,95,3.5,455644192,2663257,153608,True,True,348559832,Youtube,804204024,High,Loud,Medium,Very Musical,Happy,Very High
Fifth Harmony,Miss Movin' On,Miss Movin' On,single,46,84,-2.9,5,41,75,3.2,176670379,1602835,92866,True,True,101980619,Youtube,278650998,Very High,Very Loud,Slow,Very Musical,Neutral,Very High
Fifth Harmony,Down (Feat. Gucci Mane),Fifth Harmony,album,53,51,-7.1,13,40,196,2.8,97375123,1254549,69368,True,True,212930706,Spotify,310305829,Medium,Loud,Very Fast,Musical,Neutral,Very High
The Vamps,Somebody To You,Meet The Vamps,album,55,84,-4.7,4,75,86,3.0,247356706,2606637,72432,True,True,448532768,Spotify,695889474,Very High,Very Loud,Slow,Very Musical,Happy,Very High
